amount_usd,buy_token0_impact_pct,sell_token0_impact_pct,buy_token0_out,sell_token1_out
1000,0.595987,0.589297,321.073819848616492067,0.330497450974816257
5000,1.776324,1.729890,1586.751053199709672535,1.633527372780517774
10000,3.251745,3.123340,3128.154187100313354286,3.220728581903034417
25000,7.673810,7.138132,7499.209369149927176584,7.718135440699265671
50000,15.037777,45.256327,14038.317918120749015178,9.099947990645452015
