amount_usd,buy_token0_impact_pct,sell_token0_impact_pct,buy_token0_out,sell_token1_out
1000,7.731971,13.269697,37.074493159525384135,0.291883043438380711
5000,21.275679,49.070733,164.670618549375013692,0.856989360721499074
10000,35.457121,67.682876,294.861442500959910543,1.087603758984803841
25000,67.264637,86.450678,596.974391086279367431,1.139975668730284966
50000,106.651011,93.192582,966.389710064194265142,1.145487623809314736
